Date,count
05-12-2009,235842
05-12-2010,264172
05-12-2011,252889
05-12-2012,245517
05-12-2013,187588
05-12-2014,430259
05-12-2015,514329
05-12-2016,688501
05-12-2017,642942
05-12-2018,639883
05-12-2019,494330
05-12-2020,188782
05-12-2021,330347
06-01-2009,249127
06-01-2010,261862
06-01-2011,256897
06-01-2012,336701
06-01-2013,187717
06-01-2014,322877
06-01-2015,524373
06-01-2016,646611
06-01-2017,509074
06-01-2018,785575
06-01-2019,634415
06-01-2020,182143
06-02-2009,256157
06-02-2010,265773
06-02-2011,267696
06-02-2012,220352
06-02-2013,164982
06-02-2014,445546
06-02-2015,528939
06-02-2016,650569
06-02-2017,625069
06-02-2018,682116
06-02-2019,478463
06-02-2020,262218
06-03-2009,283574
06-03-2010,269513
06-03-2011,306014
06-03-2012,172728
06-03-2013,238200
06-03-2014,425494
06-03-2015,579905
06-03-2016,713045
06-03-2017,515674
06-03-2018,518514
06-03-2019,577484
06-03-2020,263772
06-04-2009,286353
06-04-2010,316381
06-04-2011,216176
06-04-2012,245872
06-04-2013,245211
06-04-2014,454521
06-04-2015,540945
06-04-2016,524250
06-04-2017,409450
06-04-2018,638408
06-04-2019,699422
06-04-2020,283864
06-05-2009,319370
06-05-2010,199624
06-05-2011,172301
06-05-2012,258536
06-05-2013,251066
06-05-2014,481579
06-05-2015,682471
06-05-2016,433985
06-05-2017,510095
06-05-2018,666350
06-05-2019,699449
06-05-2020,316827
06-06-2009,220637
06-06-2010,168645
06-06-2011,244037
06-06-2012,277362
06-06-2013,263851
06-06-2014,557119
06-06-2015,637017
06-06-2016,622563
06-06-2017,518925
06-06-2018,778577
06-06-2019,724353
06-06-2020,359986
06-07-2009,208965
06-07-2010,253716
06-07-2011,228921
06-07-2012,296435
06-07-2013,311924
06-07-2014,424009
06-07-2015,540196
06-07-2016,607044
06-07-2017,570696
06-07-2018,697551
06-07-2019,838457
06-07-2020,264443
06-08-2009,140377
06-08-2010,253338
06-08-2011,237011
06-08-2012,323111
06-08-2013,225107
06-08-2014,417923
06-08-2015,463457
06-08-2016,619490
06-08-2017,553586
06-08-2018,717758
06-08-2019,653638
06-08-2020,249712
06-09-2009,225377
06-09-2010,246090
06-09-2011,256505
06-09-2012,225754
06-09-2013,209189
06-09-2014,331318
06-09-2015,541621
06-09-2016,627753
06-09-2017,720789
06-09-2018,712181
06-09-2019,578906
06-09-2020,265769
06-10-2009,235717
06-10-2010,270362
06-10-2011,304140
06-10-2012,207515
06-10-2013,166589
06-10-2014,455292
06-10-2015,565075
06-10-2016,695730
06-10-2017,575576
06-10-2018,674223
06-10-2019,467719
06-10-2020,275125
06-11-2009,257183
06-11-2010,305837
06-11-2011,231673
06-11-2012,179125
06-11-2013,240582
06-11-2014,466100
06-11-2015,596107
06-11-2016,568372
06-11-2017,518019
06-11-2018,529526
06-11-2019,687995
06-11-2020,278315
06-12-2009,301122
06-12-2010,210995
06-12-2011,218508
06-12-2012,273935
06-12-2013,230607
06-12-2014,486917
06-12-2015,661425
06-12-2016,585804
06-12-2017,387743
06-12-2018,631543
06-12-2019,620081
06-12-2020,318808
07-01-2009,269596
07-01-2010,287463
07-01-2011,307462
07-01-2012,167963
07-01-2013,262415
07-01-2014,452606
07-01-2015,626970
07-01-2016,740660
07-01-2017,616019
07-01-2018,586864
07-01-2019,681065
07-01-2020,286445
07-02-2009,259744
07-02-2010,316062
07-02-2011,215226
07-02-2012,276663
07-02-2013,272456
07-02-2014,486786
07-02-2015,603980
07-02-2016,607997
07-02-2017,537761
07-02-2018,691138
07-02-2019,703669
07-02-2020,275972
07-03-2009,296648
07-03-2010,219945
07-03-2011,161401
07-03-2012,301283
07-03-2013,281034
07-03-2014,489966
07-03-2015,715618
07-03-2016,529165
07-03-2017,579373
07-03-2018,697061
07-03-2019,755056
07-03-2020,229911
07-04-2009,208163
07-04-2010,187839
07-04-2011,257577
07-04-2012,313558
07-04-2013,266028
07-04-2014,537576
07-04-2015,474642
07-04-2016,627915
07-04-2017,626490
07-04-2018,740832
07-04-2019,792842
07-04-2020,244462
07-05-2009,179603
07-05-2010,277854
07-05-2011,237898
07-05-2012,317887
07-05-2013,334179
07-05-2014,408624
07-05-2015,478331
07-05-2016,540622
07-05-2017,658694
07-05-2018,751197
07-05-2019,938219
07-05-2020,206853
07-06-2009,260196
07-06-2010,293701
07-06-2011,256466
07-06-2012,372098
07-06-2013,237520
07-06-2014,354274
07-06-2015,516569
07-06-2016,637720
07-06-2017,686601
07-06-2018,893364
07-06-2019,778021
07-06-2020,223914
07-07-2009,280288
07-07-2010,291290
07-07-2011,263151
07-07-2012,268369
07-07-2013,191583
07-07-2014,461926
07-07-2015,590907
07-07-2016,671555
07-07-2017,784079
07-07-2018,622386
07-07-2019,530542
07-07-2020,235809
07-08-2009,291385
07-08-2010,293627
07-08-2011,297651
07-08-2012,208136
07-08-2013,276264
07-08-2014,471139
07-08-2015,629963
07-08-2016,826329
07-08-2017,586585
07-08-2018,572870
07-08-2019,780253
07-08-2020,286385
07-09-2009,298957
07-09-2010,336970
07-09-2011,210206
07-09-2012,292855
07-09-2013,269938
07-09-2014,432936
07-09-2015,608373
07-09-2016,659317
07-09-2017,507736
07-09-2018,715776
07-09-2019,777528
07-09-2020,168416
07-10-2009,322423
07-10-2010,206719
07-10-2011,140803
07-10-2012,286554
07-10-2013,288791
07-10-2014,477292
07-10-2015,697116
07-10-2016,445675
07-10-2017,604159
07-10-2018,737990
07-10-2019,751076
07-10-2020,179151
07-11-2009,183348
07-11-2010,196216
07-11-2011,249383
07-11-2012,310639
07-11-2013,292607
07-11-2014,559895
07-11-2015,474872
07-11-2016,611912
07-11-2017,644573
07-11-2018,772777
07-11-2019,728401
07-11-2020,104606
07-12-2009,173043
07-12-2010,259573
07-12-2011,255848
07-12-2012,302440
07-12-2013,348667
07-12-2014,383377
07-12-2015,280439
07-12-2016,593788
07-12-2017,659620
07-12-2018,776000
07-12-2019,775136
07-12-2020,125107
08-01-2009,218284
08-01-2010,166793
08-01-2011,245764
08-01-2012,289414
08-01-2013,263966
08-01-2014,417020
08-01-2015,531705
08-01-2016,565804
08-01-2017,567873
08-01-2018,805066
08-01-2019,811276
08-01-2020,143025
08-02-2009,180844
08-02-2010,261590
08-02-2011,259117
08-02-2012,292071
08-02-2013,281454
08-02-2014,390925
08-02-2015,429088
08-02-2016,641344
08-02-2017,581568
08-02-2018,816154
08-02-2019,934717
08-02-2020,135447
08-03-2009,266703
08-03-2010,266445
08-03-2011,272167
08-03-2012,358734
08-03-2013,189721
08-03-2014,341246
08-03-2015,526778
08-03-2016,623707
08-03-2017,541575
08-03-2018,868148
08-03-2019,718078
08-03-2020,108170
08-04-2009,257788
08-04-2010,266273
08-04-2011,266868
08-04-2012,252992
08-04-2013,167739
08-04-2014,423247
08-04-2015,555977
08-04-2016,697515
08-04-2017,678298
08-04-2018,743431
08-04-2019,601593
08-04-2020,105627
08-05-2009,279329
08-05-2010,279970
08-05-2011,293535
08-05-2012,188186
08-05-2013,246623
08-05-2014,427133
08-05-2015,571195
08-05-2016,826425
08-05-2017,566359
08-05-2018,615406
08-05-2019,786616
08-05-2020,111230
08-06-2009,278602
08-06-2010,324604
08-06-2011,190509
08-06-2012,278084
08-06-2013,247243
08-06-2014,417099
08-06-2015,574158
08-06-2016,638545
08-06-2017,407353
08-06-2018,691731
08-06-2019,763354
08-06-2020,91172
08-07-2009,317601
08-07-2010,222973
08-07-2011,150156
08-07-2012,287687
08-07-2013,247223
08-07-2014,441378
08-07-2015,687929
08-07-2016,539168
08-07-2017,536863
08-07-2018,742958
08-07-2019,795837
08-07-2020,84298
08-08-2009,232773
08-08-2010,200207
08-08-2011,248566
08-08-2012,254889
08-08-2013,270986
08-08-2014,555532
08-08-2015,540401
08-08-2016,624989
08-08-2017,596215
08-08-2018,734419
08-08-2019,777973
08-08-2020,80846
08-09-2009,186999
08-09-2010,273316
08-09-2011,238472
08-09-2012,267602
08-09-2013,281475
08-09-2014,432130
08-09-2015,479401
08-09-2016,641444
08-09-2017,611458
08-09-2018,747746
08-09-2019,755990
08-09-2020,88894
08-10-2009,248576
08-10-2010,245768
08-10-2011,243249
08-10-2012,319928
08-10-2013,230496
08-10-2014,355814
08-10-2015,536809
08-10-2016,632576
08-10-2017,613531
08-10-2018,868735
08-10-2019,597888
08-10-2020,96887
08-11-2009,253657
08-11-2010,250616
08-11-2011,261947
08-11-2012,226739
08-11-2013,188930
08-11-2014,431148
08-11-2015,553589
08-11-2016,668770
08-11-2017,693400
08-11-2018,645381
08-11-2019,513596
08-11-2020,95180
08-12-2009,269824
08-12-2010,272631
08-12-2011,310295
08-12-2012,211373
08-12-2013,238208
08-12-2014,443141
08-12-2015,558721
08-12-2016,744288
08-12-2017,539856
08-12-2018,605608
08-12-2019,712837
08-12-2020,92116
09-01-2009,253374
09-01-2010,245034
09-01-2011,257632
09-01-2012,257519
09-01-2013,285411
09-01-2014,377494
09-01-2015,577875
09-01-2016,617364
09-01-2017,705140
09-01-2018,631159
09-01-2019,509416
09-01-2020,121502
09-02-2009,267646
09-02-2010,268374
09-02-2011,316175
09-02-2012,209653
09-02-2013,365464
09-02-2014,444987
09-02-2015,557953
09-02-2016,724798
09-02-2017,536908
09-02-2018,534939
09-02-2019,733078
09-02-2020,112719
09-03-2009,268623
09-03-2010,312303
09-03-2011,206180
09-03-2012,289035
09-03-2013,376436
09-03-2014,462561
09-03-2015,573593
09-03-2016,597883
09-03-2017,413123
09-03-2018,709261
09-03-2019,796292
09-03-2020,117236
09-04-2009,294268
09-04-2010,182927
09-04-2011,143470
09-04-2012,282483
09-04-2013,382490
09-04-2014,480975
09-04-2015,650902
09-04-2016,471979
09-04-2017,504647
09-04-2018,769778
09-04-2019,780565
09-04-2020,126235
09-05-2009,207873
09-05-2010,140915
09-05-2011,250824
09-05-2012,269992
09-05-2013,360976
09-05-2014,565101
09-05-2015,545985
09-05-2016,604882
09-05-2017,516970
09-05-2018,792164
09-05-2019,805749
09-05-2020,127637
09-06-2009,151450
09-06-2010,245459
09-06-2011,232594
09-06-2012,272993
09-06-2013,453315
09-06-2014,457870
09-06-2015,398715
09-06-2016,635962
09-06-2017,529974
09-06-2018,774095
09-06-2019,891940
09-06-2020,124957
09-07-2009,240703
09-07-2010,259141
09-07-2011,251472
09-07-2012,311039
09-07-2013,333137
09-07-2014,355216
09-07-2015,509763
09-07-2016,673933
09-07-2017,545018
09-07-2018,938298
09-07-2019,613002
09-07-2020,121116
09-08-2009,246007
09-08-2010,271743
09-08-2011,257530
09-08-2012,221811
09-08-2013,284875
09-08-2014,425323
09-08-2015,541648
09-08-2016,668405
09-08-2017,665810
09-08-2018,703303
09-08-2019,465220
09-08-2020,104201
09-09-2009,258660
09-09-2010,274319
09-09-2011,272907
09-09-2012,182670
09-09-2013,348933
09-09-2014,408836
09-09-2015,572380
09-09-2016,707459
09-09-2017,540443
09-09-2018,528814
09-09-2019,686046
09-09-2020,121839
09-10-2009,268028
09-10-2010,304149
09-10-2011,190805
09-10-2012,270566
09-10-2013,355490
09-10-2014,449286
09-10-2015,633522
09-10-2016,559170
09-10-2017,455550
09-10-2018,737695
09-10-2019,740234
09-10-2020,134671
09-11-2009,311140
09-11-2010,213063
09-11-2011,147127
09-11-2012,280715
09-11-2013,371525
09-11-2014,437206
09-11-2015,699897
09-11-2016,486926
09-11-2017,548230
09-11-2018,803432
09-11-2019,776748
09-11-2020,128364
09-12-2009,220302
09-12-2010,162717
09-12-2011,234731
09-12-2012,276707
09-12-2013,372838
09-12-2014,516543
09-12-2015,559732
09-12-2016,590649
09-12-2017,569329
09-12-2018,800446
09-12-2019,781524
09-12-2020,84930
10-01-2009,299991
10-01-2010,348972
10-01-2011,155447
10-01-2012,307578
10-01-2013,384580
10-01-2014,500956
10-01-2015,777692
10-01-2016,541152
10-01-2017,491805
10-01-2018,812088
10-01-2019,820375
10-01-2020,161096
10-02-2009,320747
10-02-2010,227644
10-02-2011,158940
10-02-2012,315897
10-02-2013,423719
10-02-2014,517334
10-02-2015,652706
10-02-2016,406619
10-02-2017,650927
10-02-2018,819692
10-02-2019,850179
10-02-2020,164619
10-03-2009,269773
10-03-2010,199321
10-03-2011,271194
10-03-2012,331986
10-03-2013,454030
10-03-2014,599633
10-03-2015,542282
10-03-2016,528461
10-03-2017,700162
10-03-2018,795998
10-03-2019,885373
10-03-2020,141391
10-04-2009,193217
10-04-2010,258857
10-04-2011,250448
10-04-2012,329140
10-04-2013,534957
10-04-2014,486515
10-04-2015,451117
10-04-2016,516578
10-04-2017,743727
10-04-2018,828515
10-04-2019,838920
10-04-2020,112983
10-05-2009,255353
10-05-2010,264277
10-05-2011,286799
10-05-2012,353610
10-05-2013,385041
10-05-2014,366475
10-05-2015,561247
10-05-2016,582804
10-05-2017,673736
10-05-2018,934599
10-05-2019,775279
10-05-2020,111473
10-06-2009,249777
10-06-2010,252916
10-06-2011,289019
10-06-2012,204118
10-06-2013,290175
10-06-2014,433264
10-06-2015,534950
10-06-2016,661015
10-06-2017,763346
10-06-2018,719750
10-06-2019,659508
10-06-2020,112459
10-07-2009,269939
10-07-2010,283891
10-07-2011,306050
10-07-2012,174323
10-07-2013,404085
10-07-2014,457601
10-07-2015,587563
10-07-2016,651828
10-07-2017,637972
10-07-2018,547674
10-07-2019,813739
10-07-2020,115245
10-08-2009,274241
10-08-2010,315584
10-08-2011,205243
10-08-2012,268246
10-08-2013,417348
