,Pedestrians_Count,Lockdown_Stage,Vehicle_Count,Covid_Cases
03-04-2011,308911,Stage 0,,0.0
03-04-2012,221067,Stage 0,,0.0
03-04-2013,299419,Stage 0,,0.0
03-04-2014,502019,Stage 0,,0.0
03-04-2015,636763,Stage 0,,0.0
03-04-2016,764925,Stage 0,,0.0
03-04-2017,500791,Stage 0,,0.0
03-04-2018,582625,Stage 0,,0.0
03-04-2019,779734,Stage 0,19393.0,0.0
03-04-2020,859593,Stage 0,14179.0,19.0
03-04-2021,449059,Stage 3,,0.0
03-05-2010,339111,Stage 0,,0.0
03-05-2011,240429,Stage 0,,0.0
03-05-2012,309865,Stage 0,,0.0
03-05-2013,305662,Stage 0,,0.0
03-05-2014,494801,Stage 0,,0.0
03-05-2015,613915,Stage 0,,0.0
03-05-2016,610640,Stage 0,,0.0
03-05-2017,389513,Stage 0,,0.0
03-05-2018,741940,Stage 0,,0.0
03-05-2019,812462,Stage 0,22229.0,0.0
03-05-2020,760767,Stage 0,9497.0,20.0
03-05-2021,511923,Stage 3,,0.0
03-06-2010,230551,Stage 0,,0.0
03-06-2011,210396,Stage 0,,0.0
03-06-2012,317418,Stage 0,,0.0
03-06-2013,309841,Stage 0,,0.0
03-06-2014,525981,Stage 0,,0.0
03-06-2015,653812,Stage 0,,0.0
03-06-2016,518443,Stage 0,,0.0
03-06-2017,577509,Stage 0,,0.0
03-06-2018,800046,Stage 0,,0.0
03-06-2019,805135,Stage 0,19852.0,0.0
03-06-2020,957335,Stage 0,,7.0
03-06-2021,624321,Stage 3,,4.0
03-07-2010,213663,Stage 0,,0.0
03-07-2011,276606,Stage 0,,0.0
03-07-2012,320531,Stage 0,,0.0
03-07-2013,311312,Stage 0,,0.0
03-07-2014,592197,Stage 0,,0.0
03-07-2015,656325,Stage 0,,0.0
03-07-2016,672423,Stage 0,,0.0
03-07-2017,602277,Stage 0,,0.0
03-07-2018,819183,Stage 0,,0.0
03-07-2019,857245,Stage 0,21889.0,0.0
03-07-2020,804682,Stage 0,,100.0
03-07-2021,579908,Stage 3,,0.0
03-08-2010,226406,Stage 0,,0.0
03-08-2011,279197,Stage 0,,0.0
03-08-2012,330333,Stage 0,,0.0
03-08-2013,365110,Stage 0,,0.0
03-08-2014,548891,Stage 0,,0.0
03-08-2015,749645,Stage 0,,0.0
03-08-2016,651878,Stage 0,,0.0
03-08-2017,610525,Stage 0,,0.0
03-08-2018,852492,Stage 0,,0.0
